filename;agreement_score
kirjak__blog_varrak_ee__1007.json;1
kirjak__www_rahakool_ee__10660.json;2
mittekirjak__pesa_ingliabi_ee__122851.json;2
kirjak__www_dt_ee__620173.json;2
mittekirjak__keeletoimetus_ee__6546.json;2
mittekirjak__www_ekspress_ee__123101.json;2
kirjak__blog_maaleht_ee__78714.json;2
mittekirjak__www_geopeitus_ee__613679.json;2
kirjak__www_eestikirik_ee__124046.json;2
kirjak__www_eestikirik_ee__119134.json;2
kirjak__www_vastused_ee__349908.json;1
kirjak__www_vastused_ee__350322.json;2
mittekirjak__arhiiv_koolielu_ee__245734.json;2
kirjak__www_eestisport_ee__317204.json;2
kirjak__valitsus_ee__100662.json;2
kirjak__valitsus_ee__125288.json;2
mittekirjak__est_kakonsultatsioonid_ee__26725.json;1
mittekirjak__www_kickbike_ee__24571.json;2
kirjak__aerobike_ee__159261.json;0
mittekirjak__marketingsharks_ee__180582.json;2
mittekirjak__www_geopeitus_ee__60802.json;2
kirjak__www_teek_ee__406499.json;2
kirjak__www_vastused_ee__60129.json;2
mittekirjak__nami-nami_ee__60232.json;2
kirjak__www_autoleht_ee__660893.json;2
mittekirjak__arhiiv_koolielu_ee__489773.json;1
kirjak__www_naisteleht_ee__664294.json;2
mittekirjak__materialist_netikuller_ee__81948.json;2
mittekirjak__blog_cfe_ee__310590.json;2
mittekirjak__www_vabalog_ee__428898.json;2
mittekirjak__kaja_ekstreem_ee__75995.json;2
kirjak__bhr_balanss_ee__82792.json;2
mittekirjak__foorum_audiclub_ee__448460.json;2
mittekirjak__naistekas_delfi_ee__71918.json;2
mittekirjak__blog_photopoint_ee__83475.json;2
kirjak__www_meiekirik_ee__97082.json;1
kirjak__www_eestikirik_ee__245822.json;2
kirjak__www_autoleht_ee__99923.json;1
mittekirjak__www_adaur_ee__662668.json;2
mittekirjak__nami-nami_ee__476502.json;2
mittekirjak__www_adaur_ee__100778.json;2
kirjak__www_maaleht_ee__93471.json;2
kirjak__www_ohtuleht_ee__94121.json;1
mittekirjak__www_convivo_ee__9850.json;2
kirjak__www_syndikaat_ee__100174.json;2
kirjak__www_tarbijakaitse_ee__201162.json;2
mittekirjak__forte_delfi_ee__201325.json;1
kirjak__naistekas_delfi_ee__74628.json;2
mittekirjak__arhiiv_koolielu_ee__99330.json;2
