Kiire	Kiire	Ok
guugeldamine	guugeldamine	Ok
ei	ei	Ok
andnud	andnud	Ok
eestikeelse	eestikeelse	Ok
veebipoolituse	veebipoolituse	Ok
kohta	kohta	Ok
ühtki	ühtki	Ok
tulemust	tulemust	Ok
,	,	Punct
seega	seega	Ok
tuli	tuli	Ok
muuhulgas	muuhulgas	Ok
tekitada	tekitada	Ok
hyphenator.js	hyphenator.js	Abbrev
jaoks	jaoks	Ok
et.js	et.js	Abbrev
poolitusmuster	poolitusmuster	Ok
–	-	Punct
aluseks	aluseks	Ok
Enn	Enn	Name
Saare	Saare	Name
TeX-muster	TeX-muster	Word_w_Punct
–	-	Punct
ning	ning	Ok
…	…	Punct
nii	nii	Ok
lihtne	lihtne	Ok
see	see	Ok
oligi	oligi	Ok
Enn	Enn	Name
lubas	lubas	Ok
tulemuse	tulemuse	Ok
LGPL	LGPL	Abbrev
alla	alla	Ok
ning	ning	Ok
loodetavasti	loodetavasti	Ok
jõuab	jõuab	Ok
see	see	Ok
varsti	varsti	Ok
ka	ka	Ok
hyphenator.js	hyphenator.js	Abbrev
ametlikku	ametlikku	Ok
distributsiooni	distributsiooni	Ok
,	,	Punct
seni	seni	Ok
võib	võib	Ok
küsida	küsida	Ok
ajutist	ajutist	Ok
versiooni	versiooni	Ok
minult	minult	Ok
meilitsi	meilitsi	Ok
…	…	Punct
või	või	Ok
pruukida	pruukida	Ok
tehnokratt.net/hyphenator/mergeAndPack.html	mergeAndPack.html	Abbrev
generaatorit	generaatorit	Ok
.	.	Punct
Kasutuselevõtt	Kasutuselevõtt	Ok
on	on	Ok
imelihtne	imelihtne	Ok
:	:	Punct
Hyphenatoriga	Hyphenatoriga	Ok
tuleb	tuleb	Ok
kaasa	kaasa	Ok
mergeAndPack.html	mergeAndPack.html	Abbrev
mis	mis	Ok
pakib	pakib	Ok
poolituse	poolituse	Ok
,	,	Punct
vajalikud	vajalikud	Ok
keelemoodulid	keelemoodulid	Ok
ning	ning	Ok
seadistused	seadistused	Ok
kenasti	kenasti	Ok
üheks	üheks	Ok
minimeeritud	minimeeritud	Ok
javascriptiks	javascriptiks	Ok
kokku	kokku	Ok
(	(	Punct
olgu	olgu	Ok
siiski	siiski	Ok
lisatud	lisatud	Ok
,	,	Punct
et	et	Ok
mergeAndPack	mergeAndPack	Abbrev
ei	ei	Ok
tööta	tööta	Ok
otse	otse	Ok
kettalt	kettalt	Ok
avades	avades	Ok
vaid	vaid	Ok
eeldab	eeldab	Ok
turvapõhjustel	turvapõhjustel	Ok
käitamist	käitamist	Ok
veebiserverist	veebiserverist	Ok
-	-	Punct
tehnokratt.net/hyphenator/mergeAndPack.html	mergeAndPack.html	Abbrev
abiks	abiks	Ok
)	)	Punct
Linnutad	Linnutad	Ok
seal	seal	Ok
soovitavad	soovitavad	Ok
keeled	keeled	Ok
,	,	Punct
vajadusel	vajadusel	Ok
timmid	timmid	Ok
poolitamise	poolitamise	Ok
agressiivsust	agressiivsust	Ok
ning	ning	Ok
lisad	lisad	Ok
klassi	klassi	Ok
mida	mida	Ok
vaja	vaja	Ok
poolitada	poolitada	Ok
(	(	Punct
vaikimisi	vaikimisi	Ok
eeldatakse	eeldatakse	Ok
,	,	Punct
et	et	Ok
lisad	lisad	Ok
poolitamist	poolitamist	Ok
vajavale	vajavale	Ok
sisule	sisule	Ok
klassi	klassi	Ok
hyphenate	hyphenate	Ok
–	-	Punct
minul	minul	Ok
siin	siin	Ok
Thematic’u	Thematici	Spell_Unknown_Gen
peale	peale	Ok
tehtud	tehtud	Ok
kujunduses	kujunduses	Ok
