Isiklikud	Isiklikud	Ok
kogemused	kogemused	Ok
puuduvad	puuduvad	Ok
,	,	Punct
kuid	kuid	Ok
õel	õel	Ok
soovitas	soovitas	Ok
arst	arst	Ok
kaalu	kaalu	Ok
langetamise	langetamise	Ok
eesmärgil	eesmärgil	Ok
paastulaagrit	paastulaagrit	Ok
.	.	Punct
Õde	Õde	Ok
käisgi	käiski	Spell_ED_1
laagris	laagris	Ok
ära	ära	Ok
,	,	Punct
võttis	võttis	Ok
alla	alla	Ok
ainult	ainult	Ok
4	4	Ok
kg	kg	Abbrev
ja	ja	Ok
pärast	pärast	Ok
laagrit	laagrit	Ok
juurde	juurde	Ok
17	17	Ok
kg	kg	Abbrev
.	.	Punct
Teine	Teine	Ok
inimene	inimene	Ok
,	,	Punct
kes	kes	Ok
külastas	külastas	Ok
paastulaagrit	paastulaagrit	Ok
mitmeid	mitmeid	Ok
kordi	kordi	Ok
(	(	Punct
peretuttava	peretuttava	Ok
töökaaslane	töökaaslane	Ok
)	)	Punct
sest	sest	Ok
tahtis	tahtis	Ok
olla	olla	Ok
hästi	hästi	Ok
peenike	peenike	Ok
,	,	Punct
see	see	Ok
tal	tal	Ok
lõpuks	lõpuks	Ok
ka	ka	Ok
õnnestus	õnnestus	Ok
,	,	Punct
kuid	kuid	Ok
nüüd	nüüd	Ok
on	on	Ok
nii	nii	Ok
suur	suur	Ok
,	,	Punct
et	et	Ok
ei	ei	Ok
saa	saa	Ok
sõita	sõita	Ok
ei	ei	Ok
lennukis	lennukis	Ok
,	,	Punct
ega	ega	Ok
bussis	bussis	Ok
,	,	Punct
sest	sest	Ok
ta	ta	Ok
lihtsalt	lihtsalt	Ok
ei	ei	Ok
mahu	mahu	Ok
sinna	sinna	Ok
hästi	hästi	Ok
ära	ära	Ok
.	.	Punct
Need	Need	Ok
on	on	Ok
minu	minu	Ok
teadmised	teadmised	Ok
aga	aga	Ok
võib-olla	võib-olla	Word_w_Punct
kellelgi	kellelgi	Ok
on	on	Ok
just	just	Ok
positiivseid	positiivseid	Ok
näiteid	näiteid	Ok
tuua	tuua	Ok
Apteegis	Apteegis	Ok
on	on	Ok
saada	saada	Ok
