Nu	Nu	Ok
jaa	jaa	Ok
kass	kass	Ok
viib	viib	Ok
klaveri	klaveri	Ok
ka	ka	Ok
viiendale	viiendale	Ok
korrusele	korrusele	Ok
kui	kui	Ok
õieti	õieti	Ok
peksta	peksta	Ok
Sellel	Sellel	Ok
S3-el	S3-l	Abbrev_Num
on	on	Ok
ka	ka	Ok
raputamis-	-	Spell_Unknown
keeramis-	-	Spell_Unknown
ja	ja	Ok
peksmis	peksmis	Ok
jurasid	jurasid	Ok
tohhujaa	tohhujaa	Ok
ja	ja	Ok
bolshe	bolshe	Ok
,	,	Punct
pooled	pooled	Ok
keerasin	keerasin	Ok
kinni	kinni	Ok
,	,	Punct
sest	sest	Ok
nii	nii	Ok
kontrollimatut	kontrollimatut	Ok
elu	elu	Ok
ei	ei	Ok
saa	saa	Ok
telole	telole	Ok
ka	ka	Ok
lubada	lubada	Ok
aga	aga	Ok
teema	teema	Ok
oli	oli	Ok
ju	ju	Ok
,	,	Punct
et	et	Ok
telokaameras	telokaameras	Ok
miski	miski	Ok
koliseb	koliseb	Ok
.	.	Punct
Tabasalulauri	Tabasalulauri	Name
kirjutas	kirjutas	Ok
:	:	Punct
kui	kui	Ok
nüüd	nüüd	Ok
õigesti	õigesti	Ok
mäletan	mäletan	Ok
siis	siis	Ok
sama	sama	Ok
probleem	probleem	Ok
oli	oli	Ok
ka	ka	Ok
iphone	iphone	Name
4s-il	4s-il	Abbrev_Num
.	.	Punct
kui	kui	Ok
kaamera	kaamera	Ok
juurest	juurest	Ok
koputad	koputad	Ok
siis	siis	Ok
kostub	kostub	Ok
mingi	mingi	Ok
krõbin	krõbin	Ok
.	.	Punct
sellest	sellest	Ok
oli	oli	Ok
juttu	juttu	Ok
juba	juba	Ok
päris	päris	Ok
ammu	ammu	Ok
aga	aga	Ok
kui	kui	Ok
nüüd	nüüd	Ok
õigesti	õigesti	Ok
mäletan	mäletan	Ok
siis	siis	Ok
seda	seda	Ok
häält	häält	Ok
teeb	teeb	Ok
kaamera	kaamera	Ok
fookus	fookus	Ok
.	.	Punct
proovi	proovi	Ok
kaamera	kaamera	Ok
app	app	Ok
sisse	sisse	Ok
lülitada	lülitada	Ok
ja	ja	Ok
siis	siis	Ok
peaks	peaks	Ok
klõbin	klõbin	Ok
läinud	läinud	Ok
olema	olema	Ok
.	.	Punct
Seda	Seda	Ok
lugesin	lugesin	Ok
ise	ise	Ok
ka	ka	Ok
kuskilt	kuskilt	Ok
,	,	Punct
kuid	kuid	Ok
see	see	Ok
ei	ei	Ok
aidanud	aidanud	Ok
midagi	midagi	Ok
.	.	Punct
Panin	Panin	Ok
kaamera	kaamera	Ok
peale	peale	Ok
ja	ja	Ok
ikka	ikka	Ok
endistmoodi	endistmoodi	Ok
kõrin	kõrin	Ok
.	.	Punct
reps	reps	Name
kirjutas	kirjutas	Ok
:	:	Punct
A	A	Ok
miks	miks	Ok
peab	peab	Ok
telefoni	telefoni	Ok
raputama	raputama	Ok
või	või	Ok
taguma	taguma	Ok
,	,	Punct
kas	kas	Ok
see	see	Ok
on	on	Ok
sheiker	sheiker	Ok
või	või	Ok
uks	uks	Ok
millele	millele	Ok
koputatakse	koputatakse	Ok
Muideks	muideks	Ok
ka	ka	Ok
fotokad	fotokad	Ok
logisevad	logisevad	Ok
väljalülitatuna	väljalülitatuna	Ok
,	,	Punct
sest	sest	Ok
kõik	kõik	Ok
need	need	Ok
stabika	stabika	Ok
ja	ja	Ok
fokusseerimissüsteemid	fokusseerimissüsteemid	Ok
peavad	peavad	Ok
saama	saama	Ok
vabalt	vabalt	Ok
liikuda	liikuda	Ok
.	.	Punct
Keegi	Keegi	Ok
ei	ei	Ok
raputagi	raputagi	Ok
,	,	Punct
lihtsalt	lihtsalt	Ok
mina	mina	Ok
märkasin	märkasin	Ok
seda	seda	Ok
nt	nt	Abbrev
kui	kui	Ok
lauale	lauale	Ok
olen	olen	Ok
asetanud	asetanud	Ok
ka	ka	Ok
Ega	Ega	Ok
jah	jah	Ok
,	,	Punct
teema	teema	Ok
oli	oli	Ok
jah	jah	Ok
kõrin	kõrin	Ok
telefonis	telefonis	Ok
.	.	Punct
Aga	Aga	Ok
kui	kui	Ok
ma	ma	Ok
kirjutasin	kirjutasin	Ok
sellest	sellest	Ok
Samsungi	Samsungi	Name
Tehnilisse	Tehnilisse	Ok
abise	abisse	Spell_ED_1
facebookis	Faceboogis	Name
,	,	Punct
siis	siis	Ok
seal	seal	Ok
öeldi	öeldi	Ok
ainult	ainult	Ok
,	,	Punct
et	et	Ok
mine	mine	Ok
garantiisse	garantiisse	Ok
Kogu	Kogu	Ok
selle	selle	Ok
jutu	jutu	Ok
peale	peale	Ok
:	:	Punct
"	"	Punct
Ah	Ah	Ok
midaignes	midaiganes	Spell_ED_1
"	"	Punct
(	(	Punct
Kõik	Kõik	Ok
on	on	Ok
korras	korras	Ok
,	,	Punct
töötab	töötab	Ok
ilusti	ilusti	Ok
ja	ja	Ok
ei	ei	Ok
häiri	häiri	Ok
)	)	Punct
Tabasalulauri	Tabasalulauri	Name
kirjutas	kirjutas	Ok
:	:	Punct
see	see	Ok
krõbin	krõbin	Ok
ei	ei	Ok
ole	ole	Ok
mitte	mitte	Ok
mingitest	mingitest	Ok
lahtistest	lahtistest	Ok
kruvidest	kruvidest	Ok
või	või	Ok
muudest	muudest	Ok
vidinatest	vidinatest	Ok
vaid	vaid	Ok
kaamera	kaamera	Ok
stabilisaatorist	stabilisaatorist	Ok
.	.	Punct
mis	mis	Ok
ilma	ilma	Ok
kaamera	kaamera	Ok
appi	appi	Ok
töötamiseta	töötamiseta	Ok
seal	seal	Ok
niisama	niisama	Ok
kõigub	kõigub	Ok
.	.	Punct
Pole	Pole	Ok
vahet	vahet	Ok
,	,	Punct
kas	kas	Ok
kasutada	kasutada	Ok
kaamerat	kaamerat	Ok
või	või	Ok
ei	ei	Ok
,	,	Punct
sama	sama	Ok
vali	vali	Ok
klõbin	klõbin	Ok
on	on	Ok
ikka	ikka	Ok
.	.	Punct
Veel	Veel	Ok
huvitaks	huvitaks	Ok
mind	mind	Ok
selline	selline	Ok
asi	asi	Ok
,	,	Punct
kuidas	kuidas	Ok
sai	sai	Ok
kriimustusekindlale	kriimustusekindlale	Ok
gorilla	gorilla	Name
